07FA,UNIC,UNICOM,122.7
18AZ,UNIC,UNICOM,122.975
1AZ0,UNIC,UNICOM,122.725
20GA,MULT,MULT,122.9
AGGH,AFIS,INFO,118.1
AGGH,INFO,INFO,342.5
AGGM,AFIS,INFO,118.1
AGGM,RDO,RDO,118.1
ANYN,A/G,FIC,118.1
AYBK,RDO,LAE RDO,127.1
AYDU,FSS,MORESBY CNTR,124.9
AYGA,TWR,TWR,118.7
AYGN,FSS,MORESBY CNTR,124.1
AYHK,FSS,NADZAB CNTR,127.1
AYKM,FSS,MORESBY,120.9
AYKV,FSS,LAE,127.1
AYMD,ATIS,ATIS,127.8
AYMD,FSS,MADANG CNTR,120.1
AYMD,TWR,TWR,118.1
AYMH,ATIS,ATIS,128.4
AYMH,TWR,HAGEN TWR,120.5
AYMO,AWOS,AWIS,129.35
AYMO,FSS,MADANG,120.1
AYNZ,APP,APP,118.6
AYNZ,ATIS,ATIS,128.6
AYNZ,RDO,LAE RDO,120.7
AYNZ,TWR,TWR,121.7
AYPY,APP,JACKSONS APP,125.8
AYPY,ATIS,ATIS,117
AYPY,GND,JACKSONS GND,121.7
AYPY,TWR,JACKSONS TWR,118.1
AYTK,FSS,LAE RDO,127.1
AYTK,MISC,MTAF,120.9
AYTK,TWR,TWR,118.2
AYVN,FSS,MADANG FIS,126.7
AYWK,ATIS,ATIS,128.2
AYWK,CTAF,WEWAK TRAFFIC,121.7
AYWK,FSS,MADANG CNTR,126.7
BGBW,AFIS,AFIS,119.1
BGCO,AFIS,AFIS,118.1
BGGH,AFIS,AFIS,119.1
BGNN,HIS,NANORTALIK HIS,118.1
BGNS,HIS,NARSAQ HIS,118.1
BGSF,A/D,APP/DEP,126.2
BGSF,RDO,RDO,121.3
BGSF,TWR,TWR,118.3
BGTL,A/G,EMERG CW FREQUENCY,836.4
BGTL,APP,APP,134.1
BGTL,CLD,CLNC DEL,119.9
BGTL,GND,GND,119.9
BGTL,OPS,BASE OPS,131.1
BGTL,TWR,TWR,126.2
BIAR,ACC,REYKJAVIK ACC,119.7
BIAR,RDR,RADAR,118.7
BIAR,TWR,TWR,118.2
BIBD,ACC,REYKJAVIK ACC,119.7
BIBD,AFIS,INFO,119.1
BIEG,ACC,REYKJAVIK ACC,119.7
BIEG,AFIS,RDO,119.4
BIHN,ACC,REYKJAVIK CON,119.7
BIHN,AFIS,INFO,118.1
BIHU,ACC,REYKJAVIK ACC,119.7
BIHU,AFIS,INFO,118.1
BIIS,ACC,REYKJAVIK ACC,119.7
BIIS,AFIS,INFO,118.8
BIKF,A/G,AIR GND,131.9
BIKF,APP,APP,119.3
BIKF,ATIS,ATIS,128.3
BIKF,DEP,DEP,119.3
BIKF,GND,GND,121.9
BIKF,OPS,BASE OPS,129
BIKF,PMSV,PMSV  METRO,125
BIKF,TWR,TWR,118.3
BIPA,ACC,REYKJAVIK ACC,119.7
BIPA,AFIS,RDO,119.1
BIRK,A/D,APP/DEP,119
BIRK,ATIS,ATIS,128.1
BIRK,GND,GND,121.7
BIRK,RDO,RDO,126.55
BIRK,TWR,TWR,118
BISI,ACC,REYKJAVIK ACC,119.7
BISI,RDO,RDO,118.1
BITN,ACC,REYKJAVIK ACC,119.7
BITN,AFIS,INFO,118.1
BIVM,ACC,REYKJAVIK ACC,119.7
BIVM,DEP,REYKJAVIK DEP,119
BIVM,TWR,TWR,118.5
CAD4,ATF,ATF,123.2
CAJ4,ATF,ATF,122.8
CCW3,A/D,GREENWOOD TRML,120.6
CCW3,TWR,GREENWOOD TWR,119.5
CCW3,UNIC,ATF/UNICOM,122.8
CNC3,A/D,TORONTO TRML,119.3
CNC3,UNIC,ATF/UNICOM,123.3
CNY3,CNTR,TORONTO CNTR,132.575
CNY3,UNIC,ATF/UNICOM,122.85
CTT5,ATF,ATF,123.5
CYAG,AWOS,AWOS,120
CYAG,CNTR,MINNEAPOLIS CNTR,120.9
CYAG,UNIC,ATF/UNICOM,122.8
CYAM,A/G,MF,118.8
CYAM,ATIS,ATIS,133.05
CYAM,CNTR,TORONTO CNTR,132.65
CYAM,GND,GND,121.7
CYAM,RCO,LONDON RDO,122.5
CYAM,TWR,TWR,118.8
CYAV,ATF,ATF,118.5
CYAV,ATIS,ATIS,125.8
CYAV,GND,GND,121.8
CYAV,TWR,TWR,118.5
CYAW,A/D,HALIFAX APP/DEP,119.2
CYAW,ATF,ATF,126.2
CYAW,ATIS,ATIS,129.175
CYAW,GND,GND,121.7
CYAW,OPS,OPS,30.88
CYAW,PMSV,PMSV METRO,34.46
CYAW,TWR,TWR,119
CYAX,UNIC,ATF/UNICOM,122.8
CYAY,ATF,ATF,122.3
CYAY,AWOS,AWOS1,118.65
CYAY,CNTR,GANDER CNTR,133
CYAY,FSS,RDO,122.3
CYAY,RCO,HALIFAX RDO,123.275
CYAY,RDO,MF,122.3
CYAZ,CNTR,VANCOUVER CNTR,132.9
CYAZ,RCO,PACIFIC RDO,123.25
CYBB,ATF,MANDATORY FREQ,122.1
CYBB,RDO,ARPT RDO,122.1
CYBC,A/D,MONTREAL CNTR,134.65
CYBC,RCO,MONT JOLI RDO,118.3
CYBC,RDO,MF MONT JOLI RDO,118.3
CYBD,ATF,ATF,122.8
CYBD,RCO,PACIFIC RDO,126.7
CYBE,ATF,ATF,123.2
CYBF,ATF,ATF,123.2
CYBG,A/D,TRML,127.2
CYBG,AAS,VFR ADVSY,121.2
CYBG,ATIS,ATIS,124.2
CYBG,CLD,CLNC DEL,119
CYBG,GND,GND,121.7
CYBG,OPS,WING OPS,26.46
CYBG,PMSV,PMSV,34.46
CYBG,TWR,TWR,126.2
CYBK,FSS,ARCTIC RDO,568
CYBK,UNIC,ARPT RDO,122.1
CYBL,A/D,COMOX TRML ARR/DEP,123.7
CYBL,A/G,MF CAMPBELL RDO,122
CYBL,ATF,ATF,122
CYBL,ATIS,ATIS,128.55
CYBL,FSS,RDO,122
CYBL,RCO,PACIFIC RDO,126.7
CYBR,A/G,MF,122.1
CYBR,CNTR,WINNIPEG CNTR,132.25
CYBR,RCO,WINNIPEG RDO,126.7
CYBR,RDO,RDO,122.1
CYBW,A/G,MF CALGARY  RDO,118.2
CYBW,ATIS,ATIS,127.9
CYBW,GND,GND,121.8
CYBW,RCO,EDMONTON RDO,123.375
CYBW,TWR,TWR,118.2
CYBW,TWR,Tower Inner,120.7
